date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2026-06-11,Mexico,South Africa,2,0,FIFA World Cup,TBD,TBD,False
2026-06-12,Canada,Bosnia and Herzegovina,1,1,FIFA World Cup,TBD,TBD,False
2026-06-12,South Korea,Czechia,2,1,FIFA World Cup,TBD,TBD,True
2026-06-13,Brazil,Morocco,1,1,FIFA World Cup,TBD,TBD,True
2026-06-13,Qatar,Switzerland,1,1,FIFA World Cup,TBD,TBD,True
2026-06-13,United States,Paraguay,4,1,FIFA World Cup,TBD,TBD,False
2026-06-14,Australia,Turkey,2,0,FIFA World Cup,TBD,TBD,True
2026-06-14,Germany,Curacao,7,1,FIFA World Cup,TBD,TBD,True
2026-06-14,Haiti,Scotland,0,1,FIFA World Cup,TBD,TBD,True
2026-06-14,Ivory Coast,Ecuador,1,0,FIFA World Cup,TBD,TBD,True
2026-06-14,Netherlands,Japan,2,2,FIFA World Cup,TBD,TBD,True
2026-06-15,Sweden,Tunisia,5,1,FIFA World Cup,TBD,TBD,True
